c s2M s2V K m u N T kf km
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4938 0.0143
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4941 0.0157
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4944 0.0094
0.1 0.1 0.01 100 0 0.1 1000 5500 0.4958 0.0052
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4908 0.0025
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4965 0.0011
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4959 0.0011
0.1 0.1 0.01 100 0 0.1 1000 7500 0.4948 0.0012
0.1 0.1 0.01 100 0 0.1 1000 8000 0.4905 0.0009
0.1 0.1 0.01 100 0 0.1 1000 8500 0.4933 0.0004
0.1 0.1 0.01 100 0 0.1 1000 9000 0.4893 0.0005
0.1 0.1 0.01 100 0 0.1 1000 9500 0.4874 0.0004
0.1 0.1 0.01 100 0 0.1 1000 10000 0.4966 0.0004
0.1 0.1 0.01 100 0 0.1 1000 500 0.3268 0.3022
0.1 0.1 0.01 100 0 0.1 1000 1000 0.3538 0.2566
0.1 0.1 0.01 100 0 0.1 1000 1500 0.4206 0.1397
0.1 0.1 0.01 100 0 0.1 1000 2000 0.4383 0.0801
0.1 0.1 0.01 100 0 0.1 1000 2500 0.4762 0.0321
0.1 0.1 0.01 100 0 0.1 1000 3000 0.4848 0.0254
0.1 0.1 0.01 100 0 0.1 1000 3500 0.483 0.0252
0.1 0.1 0.01 100 0 0.1 1000 4000 0.4833 0.0153
0.1 0.1 0.01 100 0 0.1 1000 4500 0.4864 0.0108
0.1 0.1 0.01 100 0 0.1 1000 5000 0.4934 0.0049
0.1 0.1 0.01 100 0 0.1 1000 5500 0.495 0.0044
0.1 0.1 0.01 100 0 0.1 1000 6000 0.4972 0.0038
0.1 0.1 0.01 100 0 0.1 1000 6500 0.4977 0.0063
0.1 0.1 0.01 100 0 0.1 1000 7000 0.4964 0.0043
